Station,Name,Latitude,Longitude,Trips Started,Trips Ended,Total Trips
911,Rose-de-Lima / Workman,45.4802642,-73.5809936,4466.0,6632,11703.0
912,Grey / Sherbrooke,45.4763443,-73.6062594,1048.0,992,2646.0
913,Parc Benny (Benny / de Monkland),45.4669357,-73.6315311,3900.0,4068,8575.0
914,Earnscliffe / Queen-Mary,45.4818451,-73.6303738,5076.0,4911,10595.0
915,McLynn / Plamondon,45.4891131,-73.6470129,2795.0,2999,6403.0
916,St-Cyril / Wiseman,45.5208548,-73.6157396,6142.0,5592,12344.0
917,Boyer / Everett,45.5432845,-73.6162861,6432.0,6153,13196.0
918,Crescent / René-Lévesque,45.4959617,-73.5732535,3145.0,3007,6764.0
919,des Récollets / McGill,45.5008765,-73.5590056,7652.0,9535,17800.0
921,Fullum / de Rouen,45.5321322,-73.5587601,7984.0,9403,18001.0
922,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.6514058,-73.5004127,316.0,376,1307.0
923,Fullum / Ontario,45.5303174,-73.5548669,5419.0,6432,12467.0
924,Place du Village-de-la-Pointe-aux-Trembles (St-Jean-Baptiste / Notre-Dame),45.6400029,-73.490113,429.0,516,1562.0
925,la Fontaine / Alexandre-de-Sève,45.5233037,-73.5579997,6425.0,7301,14344.0
926,Cégep Marie-Victorin,45.6174998,-73.6060113,404.0,490,1513.0
927,Hôpital Sacré-Coeur (Forbes),45.5319436,-73.7136054,1000.0,1041,2661.0
928,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),45.5129939,-73.6824985,1922.0,1909,4452.0
929,Molson / William-Tremblay,45.5415485,-73.5650124,5235.0,5606,11463.0
930,Messier / St-Joseph,45.5394606,-73.5760564,4130.0,4043,8796.0
931,Ateliers municipaux de St-Laurent (Cavendish / Poirier),45.5061758,-73.7111861,456.0,522,1602.0
932,Centre des loisirs (Tassé / Grenet),45.5147343,-73.691449,529.0,590,1744.0
934,McKenna / Édouard-Montpetit,45.5011651,-73.6205475,9398.0,6386,16410.0
935,St-Catherine / St-Laurent,45.5099315,-73.5638067,17284.0,18329,36240.0
936,Du Quesne / Pierre-de-Coubertin,45.5750536,-73.5389322,3989.0,4233,8850.0
937,Ste-Claire / Pierre-Tétreault,45.6019133,-73.5244185,1010.0,1146,2785.0
938,Richmond / des Bassins,45.4875216,-73.565003,13444.0,14930,29004.0
940,St-Joseph /21e avenue Lachine,45.4335565,-73.6840434,435.0,468,1534.0
